movieId,title,genres,imdbId,tmdbId,overview,poster_path,release_date,vote_average,vote_count
16,Casino (1995),Crime|Drama,112641,524,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,1995-11-22,7.992,6267.0
17,Sense and Sensibility (1995),Drama|Romance,114388,4584,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,1995-12-13,7.4,1782.0
18,Four Rooms (1995),Comedy,113101,5,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,1995-12-09,5.876,2761.0
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,1995-11-10,6.321,4379.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,1995-11-21,5.9,819.0
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,1995-10-20,6.506,1143.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,/oMgwJb016znNZcpDR20eXxZoW8A.jpg,1995-10-27,6.472,1178.0
23,Assassins (1995),Action|Crime|Thriller,112401,9691,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,1995-10-06,6.494,1646.0
24,Powder (1995),Drama|Sci-Fi,114168,12665,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,1995-10-27,6.998,692.0
25,Leaving Las Vegas (1995),Drama|Romance,113627,451,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,1995-10-27,7.2,1566.0
26,Othello (1995),Drama,114057,16420,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,/kyevuYzW36wKadiE8lftLac5VwQ.jpg,1995-12-15,6.3,148.0
27,Now and Then (1995),Children|Drama,114011,9263,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,1995-10-20,6.9,462.0
28,Persuasion (1995),Drama|Romance,114117,17015,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth – the dashing one she once sent away – crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances.",/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,1995-05-01,7.1,135.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,1995-05-17,7.248,1167.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,1995-09-14,6.7,102.0
31,Dangerous Minds (1995),Drama,112792,9909,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,1995-08-11,6.961,1219.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,1995-12-29,7.602,8795.0
34,Babe (1995),Children|Drama,112431,9598,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,1995-07-18,6.25,3030.0
36,Dead Man Walking (1995),Crime|Drama,112818,687,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,1995-12-29,7.32,1434.0
38,It Takes Two (1995),Children|Comedy,113442,33689,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg,1995-11-17,6.516,937.0
39,Clueless (1995),Comedy|Romance,112697,9603,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,1995-07-19,7.263,4652.0
40,"Cry, the Beloved Country (1995)",Drama,112749,34615,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg,1995-12-15,6.7,26.0
41,Richard III (1995),Drama|War,114279,31174,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,1995-12-29,6.7,189.0
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,/wRLepMZoUCwjLFb1WSbuUT6uVWR.jpg,1995-09-29,6.653,310.0
43,Restoration (1995),Drama,114272,35196,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,1995-12-29,6.0,126.0
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes.",/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,1995-08-18,5.868,2416.0
45,To Die For (1995),Comedy|Drama|Thriller,114681,577,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg,1995-09-22,6.6,845.0
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg,1995-10-06,6.4,189.0
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,1995-09-22,8.377,22332.0
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,1995-06-16,6.912,5924.0
49,When Night Is Falling (1995),Drama|Romance,114916,8391,"Camille is a professor at a Protestant college and is in a long-term relationship with Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray.",/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg,1995-02-01,6.3,86.0
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,1995-07-19,8.173,10990.0
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",/ice135yQZp4iX2SgCmd90nKgS5j.jpg,1995-09-13,6.7,721.0
53,Lamerica (1994),Adventure|Drama,110299,49133,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",/nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg,1994-09-09,7.1,62.0
54,"Big Green, The (1995)",Children|Comedy,112499,26441,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",/nVHqIuBTcTLmAIrML7T704UwfNI.jpg,1995-09-29,5.554,193.0
55,Georgia (1995),Drama,113158,97406,"Sadie looks up to her older sister Georgia, a successful folk singer. Unfortunately it is this very obsession — coupled with her self-destructive tendencies and rampant drug abuse — that keeps her spiraling down the drain.",/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,1995-05-19,5.7,46.0
57,Home for the Holidays (1995),Drama,113321,9089,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.",/3zqlKdOttWyExzopVxglz50Vjxq.jpg,1995-11-02,6.2,187.0
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,1994-04-07,7.927,1184.0
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,/ozQAmW85tTJu2dhRe3evzyY03Nb.jpg,1995-07-14,6.5,657.0
61,Eye for an Eye (1996),Drama|Thriller,116260,17182,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,1996-01-12,6.183,442.0
62,Mr. Holland's Opus (1995),Drama,113862,2054,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,1995-12-29,6.9,435.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,1996-01-12,7.0,1420.0
64,Two if by Sea (1996),Comedy|Romance,118002,19760,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",/xSfqAMYqrTtDeAjPtYo0S8nc5Zz.jpg,1996-01-12,4.9,97.0
65,Bio-Dome (1996),Comedy,115683,9536,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg,1996-01-12,4.518,390.0
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525,"After being rescued from the ruins of Virtual Space Industries, Jobe is rebuilt and reconnected to virtual reality by corporate mogul Jonathan Walker. Years later, teenage hacker Peter Parkette helps Jobe locate Benjamin Trace, the original creator of virtual reality, only to uncover Jobe’s plan to launch a new world order using Walker’s tech. Now, Peter, Trace, Cori, and a band of runaways must stop Jobe and Walker before they enslave humanity through cyberspace.",/aP8eGsCyZVCHgSMxhDa4KiC7H9B.jpg,1996-01-12,3.3,164.0
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",/xlLnHizshGBwMiNrnop2kg2nYzE.jpg,1995-01-18,6.1,315.0
69,Friday (1995),Comedy,113118,10634,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",/2lReF53F8trkC68piGSfk0JVwWU.jpg,1995-04-26,7.1,1938.0
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.",/uBoQytp3KTQFaVqTe6d0ECGaKh9.jpg,1996-01-19,7.031,6254.0
71,Fair Game (1995),Action,113010,11859,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",/qcxsWOzBaF7MZNNThtRQWQ9Wrdk.jpg,1995-11-03,5.1,322.0
72,Kicking and Screaming (1995),Comedy|Drama,113537,28387,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",/ynAtSpTou7snNOq32djzILw9VCA.jpg,1995-10-06,6.2,228.0
73,"Misérables, Les (1995)",Drama|War,113828,48750,"In France during World War II, a poor and illiterate man, Henri Fortin, is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.",/toQ6BJCiKVSnklpsma2GnJ6KKah.jpg,1995-03-22,6.7,83.0
74,Bed of Roses (1996),Drama|Romance,115644,20927,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",/zCXvHCEm8334d0d646ldDkXnKws.jpg,1996-01-26,5.8,120.0
75,Big Bully (1996),Comedy|Drama,115676,36929,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",/dws3JR4Yi325Tz33XnuXEB6XjGr.jpg,1996-01-26,4.6,77.0
76,Screamers (1995),Action|Sci-Fi|Thriller,114367,9102,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",/eqgBf791rMZG7ywHfObpXeMpiRf.jpg,1995-09-08,6.224,576.0
77,Nico Icon (1995),Documentary,113973,124626,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",/w3oiJZTB1UP3lj0uSVLdsYfsBbC.jpg,1995-09-08,7.5,10.0
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526,"Unable to move on from the loss of his daughter, Freddy, now a shell of the person he was before, swears to kill the man responsible for her death.",/kogaCIIylHmWQo2gJrrdq8Br8b8.jpg,1995-01-26,6.0,278.0
79,"Juror, The (1996)",Drama|Thriller,116731,9623,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",/31mRYhJvaknQx8PQnR2UV7YCkLT.jpg,1996-02-02,5.661,423.0
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,/u6jrlgZZx3zSFPDPTVOYpueljgH.jpg,1995-01-02,7.4,99.0
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400,Five different criminals face imminent death after botching a job quite badly.,/3LxYzYybOVpnw0juCSlNL5cj8NK.jpg,1995-12-01,6.4,412.0
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",/nUCVi6bBIL7LGC61nYaCqikAhIA.jpg,1995-09-21,6.907,135.0
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,/2qeQStLy1wiqDFa1Dnm02f5UacO.jpg,1996-01-26,3.6,5.0
85,Angels and Insects (1995),Drama|Romance,112365,8447,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg,1995-09-10,6.1,55.0
